Date,Open,High,Low,Close,Volume,Adj_Close,open_diff,high_diff,low_diff,close_diff,vol_diff,,,,,,,,,,
8/29/78,103.96,104.34,102.92,103.39,33780000,103.39,-0.008960915,-0.007608902,-0.006659589,-0.005482878,0.063602015,,,,,,,,,,
8/28/78,104.9,105.14,103.61,103.96,31760000,103.96,-0.001712981,-0.005109765,-0.006043745,-0.008960915,-0.122409505,,,,,,,,,,
8/25/78,105.08,105.68,104.24,104.9,36190000,104.9,0.001620437,-0.001700359,-0.000479432,-0.001712981,-0.06,,,,,,,,,,
8/24/78,104.91,105.86,104.29,105.08,38500000,105.08,0.005752085,0.001703255,0.001632731,0.001620437,-0.028513752,,,,,,,,,,
8/23/78,104.31,105.68,104.12,104.91,39630000,104.91,0.004042738,0.008493177,0.009501648,0.005752085,0.337947333,,,,,,,,,,
8/22/78,103.89,104.79,103.14,104.31,29620000,104.31,-0.008020624,-0.003897338,-0.002900232,0.004042738,0.00611413,,,,,,,,,,
8/21/78,104.73,105.2,103.44,103.89,29440000,103.89,-0.003330796,-0.007359879,-0.007579392,-0.008020624,-0.15036075,,,,,,,,,,
8/18/78,105.08,105.98,104.23,104.73,34650000,104.73,0.004108935,-0.002728898,-0.001054246,-0.003330796,-0.234592445,,,,,,,,,,
8/17/78,104.65,106.27,104.34,105.08,45270000,105.08,0.007703418,0.01065145,0.008993328,0.004108935,0.253322259,,,,,,,,,,
8/16/78,103.85,105.15,103.41,104.65,36120000,104.65,-0.001154179,0.007376892,0.005347074,0.007703418,0.213709677,,,,,,,,,,
8/15/78,103.97,104.38,102.86,103.85,29760000,103.85,9.62E-05,-0.005715374,-0.005222437,-0.001154179,-0.079207921,,,,,,,,,,
8/14/78,103.96,104.98,103.4,103.97,32320000,103.97,0.002894077,0.002961689,0.005347594,9.62E-05,-0.036661699,,,,,,,,,,
8/11/78,103.66,104.67,102.85,103.96,33550000,103.96,-0.008038278,-0.004186091,-0.00242483,0.002894077,-0.156187123,,,,,,,,,,
8/10/78,104.5,105.11,103.1,103.66,39760000,103.66,0.004711085,-0.005769958,-0.005785921,-0.008038278,-0.185245902,,,,,,,,,,
8/9/78,104.01,105.72,103.7,104.5,48800000,104.5,0.004442298,0.013128893,0.010721248,0.004711085,0.423155439,,,,,,,,,,
8/8/78,103.55,104.35,102.6,104.01,34290000,104.01,-0.003560431,-0.004673789,-0.004173542,0.004442298,0.028185907,,,,,,,,,,
8/7/78,103.92,104.84,103.03,103.55,33350000,103.55,0.00396097,0.001624152,0.002725061,-0.003560431,-0.120284885,,,,,,,,,,
8/4/78,103.51,104.67,102.75,103.92,37910000,103.92,0.005732608,-0.007020207,-0.000680801,0.00396097,-0.428808196,,,,,,,,,,
8/3/78,102.92,105.41,102.82,103.51,66370000,103.51,0.022451818,0.021315764,0.026352565,0.005732608,0.398146198,,,,,,,,,,
8/2/78,100.66,103.21,100.18,102.92,47470000,102.92,-0.000198649,0.017248177,0.002301151,0.022451818,0.363688595,,,,,,,,,,
8/1/78,100.68,101.46,99.95,100.66,34810000,100.66,0.0068,0.002767345,0.005836772,-0.000198649,0.024124743,,,,,,,,,,
7/31/78,100,101.18,99.37,100.68,33990000,100.68,0.004621258,0.006666003,0.004752275,0.0068,0.017969452,,,,,,,,,,
